ts_code,name,concept,business,q_np_change
300430.SZ,诚益通,"医疗器械,工业大麻,创业板综,养老概念,工业4.0,仪器仪表","面向大中型制药、生物企业,提供个性化的自动化控制系统产品及整体解决方案。",156.60%
300530.SZ,*ST达志,"充电桩,新能源车,创业板综,其他化学制品,锂电池",新型环保表面工程化学品的研发、生产及销售,-494.00%
300672.SZ,国科微,"国产芯片,半导体,物联网,北斗导航,集成电路,创业板综,超清视频",大规模集成电路的设计、研发及销售,97.80%
300697.SZ,电工合金,"高送转,铜,石墨烯,创业板综",铜及铜合金产品的研发、生产和销售,190.30%
300986.SZ,C志特,"铝,次新股","公司专注于为客户提供建筑铝模系统的研发、设计、生产、销售、租赁和相应的技术指导等综合服务,系专业从事建筑铝模系统的综合服务提供商",361.20%
600010.SH,包钢股份,"小金属,普钢,数据中心,军工,华为概念,稀土永磁","冷轧卷板、热轧卷板、无缝钢管、铁路用钢轨、大型型钢、棒材等品种的生产销售以及冶金机械、设备及配件,汽车货物运输,钢铁生产技术咨询。",334.20%
600022.SH,山东钢铁,普钢,生产、销售钢材、钢坯等钢铁产品。,6292.70%
600058.SH,五矿发展,"小金属,电商概念,贸易,新材料",主要从事冶金原材料供应业务、钢铁流通及制品业务、物流业务、招标业务和电子商务平台运营。,265.60%
600084.SH,*ST中葡,"农业种植,参股期货,乡村振兴,葡萄酒",葡萄酒生产销售、国际经济技术合作、农业综合开发等。,140.80%
600088.SH,中视传媒,"影视,长江三角,影视概念,超清视频,在线旅游,广电","影视拍摄、电视剧节目制作、销售经营,影视设备租赁,高清晰度影视技术、代理各类广告业务,影视拍摄基地开发、经营等。",57.20%
600090.SH,*ST济堂,"医药商业,医疗器械",医药流通行业,-143.50%
600091.SH,*ST明科,氯碱,"烧碱、聚氯乙烯树脂、硫酸、盐酸、苯酚、氢氟酸、无水氟化氢、氟化盐产品、液氯、电石、溶解乙炔、高压聚乙烯,高科技生物产品的开发与生产,电子产品的生产和销售,计算机的生产、研制开发,计算机软硬件及外围设备的生产销售,计算机设备的销售、仓储、租赁及其它经营业务,信息产业、网络工程及远程教育服务,环保设备生产及销售。",-6.70%
600096.SH,云天化,"煤化工,氟化工,磷肥,一带一路,化工原料,新材料,碳交易",化肥、化工原料及产品的生产、销售。,1575.40%
600122.SH,*ST宏图,"连锁,互联金融,新零售,长江三角,移动支付,智能穿戴",电子计算机网络工程设计、施工、安装;电子计算机及配件、通信设备(不含卫星地面接收设施)开发、研制、生产、销售及售后服务与咨询;摄影器材、金属材料、建筑装饰材料、五金交电(不含助力车)、水暖器材、陶瓷制品、电器机械、汽配、百货、针纺织品、电子辞典(非出版物)、计算器、文教办公用品销售;家电维修;实业投资;投资管理;房地产开发经营;自营和代理各类商品和技术的进出口(但国家限定公司经营和禁止进出口的商品和技术除外)。,22.30%
600123.SH,兰花科创,"煤化工,煤炭开采洗选,新材料,稀缺资源",煤炭、型煤、化工产品、建筑材料的生产、销售。,308.10%
600141.SH,兴发集团,"氟化工,半导体,中芯概念,磷化工,有机硅,稀缺资源,氢能源,草甘膦,消毒剂,化工原料,湖北自贸","磷矿石的开采及销售,磷酸盐、磷肥、草甘膦、有机硅等化工产品的生产和销售",2602.60%
600157.SH,永泰能源,"煤化工,火电,物联网,核能核电,一带一路,页岩气","煤矿及其他矿山投资,电厂投资,新能源开发与投资等。",3328.00%
600172.SH,黄河旋风,"军工,智能家居,智能机器,非金属新材料,新材料","人造金刚石,人造金刚石磨料磨具磨削及其它金刚石制品,建筑装修磨削机具;与上述经营范围相关的技术服务,经营本企业自产产品及相关技术的进出口业务;经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及相关技术的进出口业务(国家限定公司经营和国家禁止进出口的商品及技术除外);经营来料加工和“三来一补”业务。",117.20%
600193.SH,ST创兴,"综合,小金属,稀土永磁","矿业投资,实业投资,从事货物及技术的进出口业务。",754.80%
600196.SH,复星医药,"医疗器械,独角兽,病毒防治,医疗美容,生物疫苗,生物医药,肝素概念,流感,互联医疗,免疫治疗,青蒿素,单抗概念,中药","药品制造,药品销售,医疗器械和医疗诊断产品等。",50.80%
600209.SH,*ST罗顿,"酒店,区块链,土地流转","主要为酒店经营与管理,网络产品和装饰工程。",-34.60%
600219.SH,南山铝业,"铁路基建,电商概念,基本金属,大飞机,铝",铝制品、毛纺织品的开发、生产及销售、电力的生产及供应。,92.80%
600238.SH,海南椰岛,"健康中国,其他酒类,白酒,养老概念,彩票概念","以酒类产品的生产与销售为主要业务,以特色食品饮料板块、房地产开发板块、贸易与供应链板块为辅的业务格局",119.10%
600239.SH,*ST云城,"养老概念,房地产开发",房地产开发与经营、商品房销售、房屋租赁;基础设施建设投资、土地开发。,-23.00%
600241.SH,*ST时万,"燃料电池,储能设备,锂电池","以服装、服饰的出口业务及化工原料、矿产品等进口业务,房地产开发及写字间出租及物业管理。",267.30%
600242.SH,*ST中昌,"其他互联网服务,大数据,字节概念,网红直播",以搜索营销为核心的大数据智能营销软件和服务提供商。,64.20%
600271.SH,航天信息,"区块链,网络安全,生物识别,物联网,ETC,大数据,军工,蚂蚁概念,鸿蒙概念,专用计算机设备,人工智能,移动支付,食品安全,国产软件",金税及企业市场业务、金融科技及服务业务、物联网技术及应用业务。,115.30%
600275.SH,*ST昌鱼,"养殖,水产养殖","淡水鱼类及其它水产品养殖、畜禽养殖(屠宰)、蔬菜种植及以上产品的加工、储运、销售;食品、饲料、渔需品的生产、销售;经营本企业自产水产品、蔬菜、牲猪(对港、澳地区除外)的出口业务;房地产项目开发,经营、销售商品房。",36.80%
600293.SH,三峡新材,"稀缺资源,通信终端设备,华为概念,湖北自贸",平板玻璃及玻璃深加工和移动互联网终端产品销售及服务行业。,129.70%
600307.SH,酒钢宏兴,"核能核电,一带一路,普钢,低碳冶金","公司是一家集采矿、选矿、烧结、焦化、炼铁、炼钢、热轧、冷轧以及不锈钢生产为一体,具备年产1000万吨以上钢材生产能力的综合型钢铁企业,目前形成了以嘉峪关本部和兰州榆钢两大生产基地,产品涵盖碳钢和不锈钢。碳钢产品覆盖线、棒、板、带四大系列,主要产品有高速线材、棒材、中厚板材、热轧卷板、冷轧卷板、各类涂镀材卷板(镀锌、镀铝锌、锌铝镁)等。不锈钢产品主要形成了铁素体、奥氏体、马氏体和双相不锈钢等四大系列产品;同时,借助不锈钢生产体系的完整性和装备先进性,公司开创了国内第一个钛产品成卷的先河,已具备从板坯至热轧黑卷产品、热轧酸洗白卷、冷轧退火板带、冷轧退火酸洗板带全流程钛板加工能力。",272.20%
600311.SH,*ST荣华,"煤化工,壳资源,黄金概念,黄金",浙商矿业的黄金开采、选冶、加工与销售。,138.90%
600331.SH,宏达股份,"小金属,铅锌,稀缺资源,基本金属,成渝特区,参股期货","包括有色金属锌的冶炼、加工和销售,以及磷化工产品生产和销售。",87.30%
600348.SH,华阳股份,"煤化工,煤炭开采洗选,稀缺资源",煤炭生产、洗选加工、销售;电力生产、销售;热力生产、销售;道路普通货物运输和通勤运输;设备租赁;经销汽车及施工机械配件及材料;汽车修理。,16.50%
600362.SH,江西铜业,"小金属,铜,稀缺资源,基本金属,黄金概念,新材料","涵盖了铜的采选、冶炼和加工,贵金属和稀散金属的提取与加工,硫化工,以及金融、贸易等领域,并且在铜以及相关有色金属领域建立了集勘探、采矿、选矿、冶炼、加工于一体的完整产业链",368.70%
600395.SH,盘江股份,"煤炭开采洗选,白酒,稀缺资源,养老金",原煤开采、洗选加工及销售。,127.40%
600403.SH,ST大有,"长江三角,煤炭开采洗选",煤炭生产与销售。,284.10%
600408.SH,ST安泰,"煤化工,焦炭","生产、销售焦炭及副产品、化肥(硫铵)、相关化工产品(国家限定的除外)、生铁、钢材、水泥、水泥制品、电力、碳素制品;煤炭洗选;石灰石开采、加工;货物运输;新产品开发;批发零售矿产品(除国家专控品)、化工原料(除易燃易爆易腐蚀危险品)、普通机械、汽车(除小轿车)、日杂百货、农副产品(除国家专控品);自营和代理各类商品及技术的进出口业务,但国家限定经营或禁止的商品及技术除外;实业投资。",4452.10%
600423.SH,ST柳化,"煤化工,氮肥,化工原料",合成氨为原料的系列氨加工产品的生产和销售。,4293.40%
600438.SH,通威股份,"HIT电池,成渝特区,饲料,太阳能,水产养殖,新能源",水产饲料、畜禽饲料等的研究、生产和销售,151.90%
600483.SH,福能股份,"火电,口罩,核能核电,风能","发电、供热;电力行业相关技术研发、培训技术咨询服务;纺织品,PU 革的生产和销售。",409.20%
600506.SH,*ST香梨,"农业种植,种植业,土地流转",主要从事以库尔勒香梨为主的果品种植、加工和销售,-193.90%
600511.SH,国药股份,"医药商业,冷链物流,流感,中药",组织药品生产;化学原料药、西药制剂、生化药品、生物制品、中成药的销售。,50.60%
600530.SH,*ST交昂,"电商概念,生物医药,养老概念,长江三角",生物制品、保健食品、参制品等保健食品的研制、生产和销售。,4325.10%
600569.SH,安阳钢铁,"煤化工,普钢",钢铁及钢铁延伸产品的生产和销售。,158.70%
600577.SH,精达股份,"智慧城市,独角兽,电商概念,新能源车,金属制品,小米概念,工业互联",漆包电磁线、裸铜线制造、销售。,52.30%
600581.SH,八一钢铁,"普钢,低碳冶金,一带一路",钢铁冶炼、轧制、加工及其延压产品的生产和销售。,191.30%
600587.SH,新华医疗,"健康中国,医疗器械,互联医疗,消毒剂,医废处理",许可证规定范围内的消毒灭菌设备、放射诊断治疗设备、医用化学指示产品与制药设备、环保设备的生产、销售、技术服务。,440.20%
600595.SH,*ST中孚,"基本金属,超导概念,铝",铝加工产品、火力发电、煤炭的生产和销售,258.20%
600596.SH,新安股份,"互联金融,有机硅,新材料,转基因,草甘膦,长江三角,黄金概念,农药,化工原料,无人机",以草甘膦为主的农药产品和有机硅新材料产品的生产和销售。,2000.00%
600608.SH,ST沪科,"长江三角,特钢",通信网络设备、计算机信息工程、集成电路设计与销售、智能社区网络、异型钢管及酒店服务等。,-202.10%
600615.SH,*ST丰华,"长江三角,金属制品",生产镁合金、铝合金制品,-45.90%
600652.SH,*ST游久,"手游概念,虚拟现实,长江三角,游戏娱乐,网红直播,网络游戏,电子竞技","从事网络游戏的发行与研发,以及游戏媒体资讯平台的运营",-28.80%
600682.SH,南京新百,"健康中国,基因测序,电商概念,养老概念,免疫治疗,长江三角,百货",百货零售业务、脐带血存储业务、护理服务收入、养老业务等。,27.90%
600684.SH,珠江股份,"房地产开发,二胎概念,粤港自贸,赛马概念",房地产开发与经营。,472.40%
600702.SH,ST舍得,"成渝特区,白酒","酒类产品、玻瓶产品,中国名酒“沱牌曲酒”及其系列产品",788.40%
600714.SH,金瑞矿业,"其他化学原料,稀缺资源",锶盐系列产品的生产和销售,190.60%
600716.SH,凤凰股份,"养老概念,房地产开发",房地产开发、商品房销售,952.60%
600734.SH,*ST实达,"创投,物联网,国家安防,华为概念,5G概念,消费电子设备,智能穿戴,国产软件","一是移动智能终端业务,包括移动智能终端及相关核心部件的研发、设计、生产和销售,涵盖手机(包括普通智能手机、功能机、VR手机、投影手机、三防手机等)和行业终端(包括智能平板、物流终端、执法仪、卫星通讯终端、智能监控系统、智能家居产品、虚拟激光触控等)多个领域;二是移动智能终端配套电池电源业务,包括电池电源的研发、设计、生产和销售;三是物联网周界安防业务,包括防入侵系统、视频监控及物联网安防应用相关软件、硬件产品的研发、生产、销售及相应的技术服务。",-18.90%
600735.SH,新华锦,"医疗器械,其他轻工,RCEP概念,二胎概念,医疗美容,养老概念,石墨烯",发制品和纺织服装产品的研发、生产和出口销售,-2.30%
600740.SH,山西焦化,"焦炭,煤化工",生产、销售焦炭及其它相关化工产品。,357.50%
600744.SH,华银电力,"火电,创投,核能核电,风能,新能源,碳交易",电力生产及销售。,-189.50%
600751.SH,海航科技,"大数据,一带一路,综合互联网服务,苹果概念,华为概念,滨海新区,云计算,人工智能,雄安新区",IT产品分销及技术解决方案、移动设备及生命周期服务、电子商务供应链解决方案及云服务。,80.80%
600767.SH,ST运盛,"健康中国,医疗服务,互联医疗,长江三角","城市基础设施开发及配套服务,城市供水、能源、交通、工业、房地产项目开发、工程承包。",80.90%
600818.SH,中路股份,"其他轻工,知识产权,共享经济,长江三角,网红直播,风能","生产、经营自行车及零部件、助力车、摩托车、保龄设备、棋牌设备、健身器材、聚氨酯材料、手动轮椅车、电动轮椅车等康体设备、房地产开发及各类特种车辆和与自行车相关的配套产品,开发其他产品,发展第三产业,开展技术咨询服务,对其他企业参股投资。",2.20%
600869.SH,远东股份,"特高压,充电桩,智慧城市,独角兽,互联金融,电商概念,核能核电,新能源车,智能电网,水利建设,云计算,节能环保,电线电缆,锂电池",电线电缆业务,245.30%
600888.SH,新疆众和,"军工,稀缺资源,石墨烯,新材料,铝","高纯铝、电子铝箔和电极箔等电子元器件原料的生产、销售,以及铝及铝制品(高性能铝合金产品)的生产、销售",229.40%
600889.SH,南京化纤,"长江三角,粘胶纤维,风能",粘胶纤维、自来水的生产与销售和房地产开发经营。,64.00%
600890.SH,*ST中房,房地产开发,投资性房产的销售及自有物业的出租,51.20%
600906.SH,财达证券,"券商概念,证券,次新股",证券经纪、证券投资咨询、证券承销与保荐、证券自营、证券资产管理、融资融券、证券投资基金代销、与证券交易、证券投资活动有关的财务顾问、代销金融产品、为期货公司提供中间介绍业务,5.60%
600961.SH,株冶集团,"基本金属,铅锌,小金属",国家法律法规允许的产业投资;冶炼、销售有色金属产品、矿产品及副产品;生产、销售精铟、电银、电金、工业硫酸;研究、开发、生产、销售政策允许的金属新材料,2483.50%
600965.SH,福成股份,"冷链物流,生态农业,京津冀,网红直播,养殖",肉牛的养殖、屠宰加工以及活牛和牛肉产品的销售。,68.60%
600967.SH,内蒙一机,"铁路基建,军工,地面装备",生产、销售铁路车辆、汽车专用车、冶金机械、压力容器、车辆配件、装甲车辆、火炮等防务装备。,19.50%
600988.SH,赤峰黄金,"黄金,稀缺资源,黄金概念,养老金",有色金属采选及资源综合回收利用业务。,8722.70%
600997.SH,开滦股份,"煤化工,煤炭开采洗选,稀缺资源,氢能源,雄安新区",煤炭及伴生资源开采;原煤洗选加工;煤炭产品经营销售;炼焦及其产品的生产、销售;煤化工产品的制造和销售。,86.40%
601001.SH,晋控煤业,"煤炭开采洗选,稀缺资源",煤炭采掘、洗选加工、销售。,73.40%
601003.SH,柳钢股份,"养老概念,普钢,养老金","烧结、炼铁、炼钢及其副产品的销售,钢材轧制、加工及其副产品的销售;炼焦及其副产品的销售。",307.00%
601005.SH,重庆钢铁,"成渝特区,特钢",生产、销售中厚钢板、型材、线材、棒材、钢坯、冷轧板以及焦化副产品、炼铁副产品等。,425673.10%
601020.SH,ST华钰,"铅锌,黄金概念,小金属",主要从事有色金属采矿、选矿、地质勘查及贸易业务,282.60%
601113.SH,ST华鼎,"快递概念,电商概念,节能环保,锦纶",民用锦纶长丝的研发、制造和销售。,140.00%
601127.SH,小康股份,"乘用车,无人驾驶,新能源车,成渝特区,百度概念,阿里概念,地摊经济,华为概念,华为汽车,固态电池,车联网,无人机",汽车整车及其发动机、零部件的研发、生产、销售和服务。,-24.30%
601258.SH,ST庞大,"独角兽,共享经济,新能源车,汽车销售,京津冀",汽车经销及维修养护。,67.70%
601279.SH,英利汽车,"次新股,汽车零部件,新能源车",车身结构零部件及防撞系统零部件的设计、研发、制造及销售,155.20%
601567.SH,三星医疗,"医疗器械,充电桩,物联网,医疗美容,智能家居,互联医疗,2025规划,智能电网,电气仪表",电能计量及信息采集产品、配电设备的研发、生产和销售。,12.10%
601600.SH,中国铝业,"中字头,小金属,铝,基本金属,稀土永磁","铝土矿、煤炭等资源的勘探开采,氧化铝、原铝和铝合金产品的生产、销售、技术研发,国际贸易,物流产业,火力及新能源发电等。",542.40%
601666.SH,平煤股份,"煤炭开采洗选,稀缺资源",煤炭的生产、洗选加工及销售。,78.60%
601699.SH,潞安环能,"煤炭开采洗选,稀缺资源",原煤开采、煤炭洗选、煤焦冶炼;洁净煤技术的开发与利用;煤层气开发;煤炭的综合利用、地质勘探等。,114.60%
601808.SH,中海油服,"可燃冰,油价相关,油田服务,海工装备,一带一路,天然气,海洋经济,油气设服","公司业务涉及石油及天然气勘探、开发及生产的各个阶段,主要分为钻井服务、油田技术服务、船舶服务、物探勘察服务四大板块。",-85.80%
601918.SH,新集能源,"煤炭开采洗选,煤化工",煤炭采掘、洗选和销售。,999.90%
601969.SH,海南矿业,"电商概念,天然气,铁矿石",铁矿石采选和销售。,128.60%
603020.SH,爱普股份,"调味品,人造肉",香料、香精和食品配料的研发、制造和销售。,72.40%
603032.SH,*ST德新,"一带一路,刀片电池,锂电池,公交","包括道路旅客运输和客运汽车站业务,其他业务包括房屋与仓库的租赁、车辆维修、车辆配件销售及道路货运业务。",60.10%
603077.SH,和邦生物,"纯碱,太阳能,HIT电池,草甘膦,2025规划,消毒剂,新材料",化工制造及盐矿、磷矿的开发。,915.80%
603098.SH,森特股份,"装修装饰,雄安新区,光伏建筑一体化","公司主营业务为研发、生产、销售绿色、环保、节能新型建材并提供相关工程设计、生产、安装和售后等一体化服务,主要承接金属围护系统工程(屋面系统、墙面系统)和声屏障系统工程,提供从工程咨询、设计、专用材料供应和加工制作到安装施工全过程的工程承包服务。",2.50%
603123.SH,翠微股份,"移动支付,蚂蚁概念,字节概念,百货",百货零售业务。,180.90%
603157.SH,*ST拉夏,"电商概念,服装,创投","主要於中国从事设计、推广及销售服饰产品业务,专注於大众女性休闲服装。该公司致力於通过九个现有品牌向顾客提供时尚服装,包括La Chapelle、Puella、UlifeStyle、7.Modifier、Candie’s、La Babité、Vogeek、Pote和La Chapelle Kids。",79.70%
603214.SH,爱婴室,"连锁,电商概念,二胎概念,新零售,拼多多概念",母婴商品销售及相关服务,514.40%
603398.SH,邦宝益智,"医疗器械,病毒防治,二胎概念,其他文娱用品,盲盒经济",研发、生产、销售益智玩具以及生产、销售精密非金属模具,-105.00%
603399.SH,吉翔股份,"小金属,军工,影视概念,其他稀有小金属","钼产品业务,影视业务。",111.20%
603536.SH,惠发食品,"社区团购,食品综合",包括速冻丸类制品、肠类制品、油炸类制品、串类制品等在内的速冻调理肉制品的研发、生产和销售。,-104.50%
603615.SH,茶花股份,"垃圾分类,电商概念,二胎概念,塑料制品",以日用塑料制品为主的家居用品的研发、生产和销售。,34.50%
603619.SH,中曼石油,"油田服务,一带一路,天然气,油气设服",钻井工程和钻机装备制造,-295.10%
603718.SH,海利生物,"病毒防治,体外诊断,基因测序,生物疫苗,动物用药",畜用、禽用动物疫苗的研发、生产和销售,128.90%
603721.SH,中广天择,"影视概念,广电,影视,网红直播",电视、互联网和移动互联网等视频内容的制作、发行和营销;电视剧版权运营。,130.20%
603779.SH,ST威龙,葡萄酒,酿酒葡萄种植、葡萄酒生产及销售。,96.40%
603838.SH,四通股份,陶瓷,"公司是一家集研发、设计、生产、销售于一体的新型家居生活陶瓷供应商,产品覆盖日用陶瓷、卫生陶瓷、艺术陶瓷等全系列家居生活用瓷。",-73.50%
605089.SH,味知香,"食品综合,次新股","半成品菜的研发,生产和销售",无
605098.SH,行动教育,"次新股,教育信息化服务",企业管理培训、管理咨询服务以及相关图书音像制品销售,131.20%
605117.SH,德业股份,"国产芯片,其他家电,次新股,太阳能",主要从事蒸发器、冷凝器和变频控制芯片等部件以及除湿机和空气源热泵热风机等环境电器产品的研发、生产和销售,122.70%
605180.SH,华生科技,"次新股,其他纺织",专业从事塑胶复合材料的研发、生产、销售业务,无
605218.SH,伟时电子,"医疗器械,物联网,次新股,MiniLED,OLED,显示器件",主要从事背光显示模组、液晶显示模组等产品研发、生产、销售,61.90%
605300.SH,佳禾食品,"食品综合,次新股",植脂末、咖啡及其他固体饮料等产品的研发、生产和销售,46.40%
